,会社名,求人タイトル,項目C
1251,株式会社ワイヤードビーンズ | 【地域未来牽引企業に選出】強固な基盤のもと事業成長中,【Webアプリケーションエンジニア】リモートワークOK/レア求人 正社員,
1252,一般社団法人N-arcx | ■地域密着型の介護事業所　■大手通信キャリアの保守管理業務,【エンジニア】未経験でも採用！高卒・リモートワークもOK★ 正社員,
1253,株式会社ワイヤードビーンズ | 【地域未来牽引企業に選出】強固な基盤のもと事業成長中,【PL・PM】UIJターン歓迎・年休125日(土日)・残業月20時間程度 正社員,
1254,特定非営利活動法人共存の森ネットワーク | テレワークも相談可/月残業20時間以下,★完全週休2日(土日祝)の【事務局常勤スタッフ(企画運営/総務)】 正社員,
1255,アヴァント株式会社 | 東証一部上場企業のグループ会社◆元請け比率大◆年間休日125日,DX推進を支援する【オープン系エンジニア】★PL候補★土日祝休み 正社員,
1256,株式会社Lifeplay | ◎年間休日120日以上◎リモートワーク可◎売上昨年比300%,【WEBデザイナー】★創業2期目！★スタートアップメンバー募集！ 正社員,
1257,株式会社パレットリンク | エンジニアのために生まれた会社だから、働きやすさを重視！,自社内開発多数！【 ITエンジニア 】★年収例630万円★年休126日 正社員,
1258,日本コンピュータ・ダイナミクス株式会社 | ☆有休消化率全国6位*（福利厚生の充実度も業界随一！）,JASDAQ上場企業で新たなキャリアを！【インフラエンジニア】 正社員,
1259,株式会社メタフェイズ | 大手から中堅・ベンチャー企業まで直取引多数◆リモートワークOK,常駐無し◎【プロジェクトマネージャー/ディレクター】土日祝休 正社員,
1260,アイビーシステム株式会社 | 《博報堂DYグループ》多彩な実績を持つアウトソーサー,コールセンターの利用促進を担う【提案営業】◎土日祝休み 正社員,
1261,ビシェイポリテック株式会社 | アメリカの電子部品メーカーVishay(ビシェイ)のグループ企業,世界の半導体を手掛ける【生産技術】完全週休二日制／転勤なし 正社員,
1262,アイビーシステム株式会社 | 《博報堂DYグループ》多彩な実績を持つアウトソーサー,コールセンターの業務システムを開発する【社内SE】◎土日祝休み 正社員,
1263,ケー・イー・エルテクニカルサービス株式会社 | 兼松エレクトロニクス（東証一部上場）100％出資企業,【ネットワークエンジニア保守】★年間休日123日★土日祝休み 正社員,
1264,株式会社ナカタコーポレーション | 【住友林業イノスグループ】四條畷市で抜群の実績／制度充実,デザイナーズ住宅の【営業】※資格取得支援あり ※転勤なし 正社員,
1265,株式会社ナカタコーポレーション | 【住友林業イノスグループ】四條畷市で抜群の実績／転勤無し,スキルを活かして活躍！【設計アシスタント】※資格取得支援あり 正社員,
1266,株式会社かりなび | リモートワーク制度有★／完全週休2日制／月給25万円～,未経験から活躍できる【提案営業】★年休135日★転勤無 正社員,
1267,ネオス株式会社 | 大手案件多数！世の中にインパクトを与える大規模サービスに関与,上場グループで活躍！【プロジェクトマネージャー(部長候補)】 正社員,
1268,ネオス株式会社 | 先端技術の研究開発や高度案件の開発に携わりスキルアップ,上場グループで活躍！【スマホアプリエンジニア】★自社開発 正社員,
1269,一般財団法人カケンテストセンター | ◆日本を代表する第三者テスト機関 ◎年間休日125日◎退職金あり,【社内SE（上流担当）】※開発は主にベンダーが担当 正社員,
1270,ネオス株式会社 | 先端技術の研究開発や高度案件の開発に携わりスキルアップ,上場グループで活躍【Web開発エンジニア】自社開発／札幌勤務 正社員,
1271,東京エレクトロンデバイス株式会社 | 東証一部上場・東京エレクトロングループ　★フレックスタイム制,【人事・労務】本社横浜勤務／転勤なし　※年休123日 正社員,
1272,株式会社マネジメントサービスセンター | 企業の人材戦略・人材育成のプロフェッショナルカンパニー,大手企業の人材課題を解決する【提案営業】＊リモートワーク可 正社員,
1273,東京エレクトロンデバイス株式会社 | 東証一部上場・東京エレクトロングループ ◆フレックスタイム制,最先端のセキュリティ製品を扱う【SOCエンジニア】※年休123日 正社員,
1274,株式会社ファンクルー | 自社ゲーム開発やそのサポート、運営・配信など幅広く事業を展開,ゲーム会社の【翻訳スタッフ】年間休日120日以上★土日祝休み★ 正社員,
1275,株式会社Viibar | カスタマーサクセス特化動画プラットフォーム展開★完全週休2日,動画コンテンツの【ディレクター】★フルリモートワーク制 正社員,
1276,株式会社バイオクロマト | 2021年度「グッドカンパニー大賞」受賞！理化学機器専門メーカー,【提案営業】◆自社製品がメイン ◆転勤なし◎業界経験者限定◎ 正社員,
1277,ネオス株式会社 | 大手案件多数！世の中にインパクトを与える大規模サービスに関与,上場グループで活躍【サーバー開発エンジニア】札幌勤務 正社員,
1278,株式会社Viibar | カスタマーサクセス特化動画プラットフォーム展開★フルリモート,企業向け動画コンテンツの企画立案をする【プロデューサー】 正社員,
1279,株式会社バイオクロマト | 2021年度「グッドカンパニー大賞」受賞！理化学機器専門メーカー,【提案営業】◆転勤なし／本社勤務◎業界未経験可 正社員,
1280,ネオス株式会社 | 先端技術の研究開発や高度案件の開発に携わりスキルアップ,上場グループで活躍【プロジェクトリーダー】自社開発／札幌勤務 正社員,
1281,九電ビジネスソリューションズ株式会社 | 九州電力100％出資子会社 ◇年間休日120日 ◇残業月平均17h,中途入社でもハンデなし【上流コンサルタント】★福利厚生充実 正社員,
1282,JAG国際エナジー株式会社 | 土日祝休み★再生エネルギーに特化した電源開発を日本全国で展開,新電力開発企業で開発プロセスに携わる部署の【業務標準化担当】 正社員,
1283,株式会社アイオス | ◆東証一部上場・クレスコグループ◆年休126日◆残業月平均20h,《前給考慮》【エンジニア（開発・インフラ）】フルフレックス制 正社員,
1284,クローダジャパン株式会社 | ロンドン証券取引所上場企業Croda Internationalのグループ企業,【社内SE】(IT企画)※イギリス発外資系化学メーカー 正社員,
1285,九電ビジネスソリューションズ株式会社 | 九州電力100％出資子会社 ◇年間休日120日 ◇残業月平均17h,九電グループのAI環境を推進！【AIエンジニア】★公平な評価制度 正社員,
1286,株式会社フォーサム | ◆直近1年の定着率は90％以上 ◆資格手当充実 ◆残業代全額支給,【ITエンジニア】◆年間休日128日◆土日祝休み◆面接1回 正社員,
1287,布袋食糧株式会社 | 食パン専門店“よいことパン”で有名な食品メーカー,自社ブランドの【広報（チームリーダー）】★名古屋・年休121日 正社員,
1288,北海道建物株式会社 | ◎経験を活かし安定基盤で着実にキャリアアップ ◎年間休日134日,<北海道銀行のグループ企業> 損害保険の【法人営業】飛込みなし 正社員,
